
 syntran 0.0.63
 https://github.com/JeffIrwin/syntran

 Interpreting file "main.syntran"

Starting AOC syntran main 2017/17
x in [409, 616]
y in [3, 1863]
x, y = [93, 99]
x, y = [93, 100]
x, y = [93, 101]
x, y = [93, 102]
x, y = [93, 103]
x, y = [93, 104]
x, y = [93, 105]
x, y = [93, 106]
x, y = [93, 107]
x, y = [93, 108]
x, y = [93, 109]
x, y = [93, 110]
x, y = [93, 111]
x, y = [93, 112]
x, y = [93, 113]
x, y = [93, 114]
x, y = [93, 115]
x, y = [93, 116]
x, y = [93, 117]
x, y = [93, 118]
x, y = [93, 119]
x, y = [93, 120]
x, y = [93, 121]
x, y = [93, 122]
x, y = [93, 123]
x, y = [93, 124]
x, y = [93, 125]
x, y = [93, 126]
x, y = [93, 127]
x, y = [93, 128]
x, y = [93, 129]
x, y = [93, 130]
x, y = [93, 131]
x, y = [93, 132]
x, y = [93, 133]
x, y = [93, 134]
x, y = [93, 135]
x, y = [93, 136]
x, y = [93, 137]
x, y = [93, 138]
x, y = [93, 139]
x, y = [93, 140]
x, y = [93, 141]
x, y = [93, 142]
x, y = [93, 143]
x, y = [93, 144]
x, y = [93, 145]
x, y = [93, 146]
x, y = [93, 147]
x, y = [93, 148]
x, y = [93, 149]
x, y = [93, 150]
x, y = [93, 151]
x, y = [93, 152]
x, y = [93, 153]
x, y = [93, 154]
x, y = [93, 155]
x, y = [93, 156]
x, y = [93, 157]
x, y = [93, 158]
x, y = [93, 159]
x, y = [93, 160]
x, y = [93, 161]
x, y = [93, 162]
x, y = [93, 163]
x, y = [93, 164]
x, y = [93, 165]
x, y = [93, 164]
x, y = [93, 163]
x, y = [93, 162]
x, y = [93, 161]
x, y = [93, 160]
x, y = [93, 159]
x, y = [93, 158]
x, y = [93, 157]
x, y = [93, 156]
x, y = [81, 157]
x, y = [81, 158]
x, y = [81, 159]
x, y = [81, 160]
x, y = [81, 161]
x, y = [81, 162]
x, y = [81, 163]
x, y = [81, 164]
x, y = [81, 165]
x, y = [81, 166]
x, y = [81, 167]
x, y = [81, 168]
x, y = [81, 169]
x, y = [81, 170]
x, y = [81, 171]
x, y = [81, 172]
x, y = [81, 173]
x, y = [81, 174]
x, y = [81, 175]
x, y = [81, 176]
x, y = [81, 177]
x, y = [81, 178]
x, y = [81, 179]
x, y = [81, 180]
x, y = [81, 181]
x, y = [81, 182]
x, y = [81, 183]
x, y = [81, 184]
x, y = [81, 185]
x, y = [81, 186]
x, y = [81, 187]
x, y = [81, 186]
x, y = [81, 185]
x, y = [81, 184]
x, y = [81, 183]
x, y = [81, 182]
x, y = [81, 181]
x, y = [81, 180]
x, y = [81, 179]
x, y = [81, 178]
x, y = [81, 177]
x, y = [70, 178]
x, y = [70, 179]
x, y = [70, 180]
x, y = [70, 181]
x, y = [70, 182]
x, y = [70, 183]
x, y = [70, 184]
x, y = [70, 185]
x, y = [70, 186]
x, y = [70, 187]
x, y = [70, 188]
x, y = [70, 189]
x, y = [70, 190]
x, y = [70, 191]
x, y = [70, 192]
x, y = [70, 193]
x, y = [70, 194]
x, y = [70, 195]
x, y = [70, 196]
x, y = [70, 197]
x, y = [70, 198]
x, y = [70, 199]
x, y = [70, 200]
x, y = [70, 201]
x, y = [70, 202]
x, y = [70, 203]
x, y = [70, 204]
x, y = [70, 205]
x, y = [70, 206]
x, y = [70, 207]
x, y = [70, 208]
x, y = [70, 209]
x, y = [70, 210]
x, y = [70, 209]
x, y = [70, 208]
x, y = [70, 207]
x, y = [70, 206]
x, y = [70, 205]
x, y = [70, 204]
x, y = [70, 203]
x, y = [70, 202]
x, y = [70, 201]
x, y = [70, 200]
x, y = [70, 199]
x, y = [70, 198]
x, y = [70, 197]
x, y = [72, 198]
x, y = [72, 199]
x, y = [72, 200]
x, y = [72, 201]
x, y = [72, 202]
x, y = [72, 203]
x, y = [72, 204]
x, y = [72, 205]
x, y = [72, 206]
x, y = [72, 207]
x, y = [72, 208]
x, y = [72, 209]
x, y = [72, 210]
x, y = [72, 211]
x, y = [72, 212]
x, y = [72, 213]
x, y = [72, 214]
x, y = [72, 215]
x, y = [72, 216]
x, y = [72, 217]
x, y = [72, 218]
x, y = [72, 219]
x, y = [72, 220]
x, y = [72, 221]
x, y = [72, 222]
x, y = [72, 223]
x, y = [72, 224]
x, y = [69, 225]
x, y = [69, 226]
x, y = [69, 227]
x, y = [69, 228]
x, y = [69, 229]
x, y = [69, 230]
x, y = [69, 231]
x, y = [69, 232]
x, y = [69, 233]
x, y = [69, 234]
x, y = [69, 235]
x, y = [69, 234]
x, y = [69, 233]
x, y = [69, 232]
x, y = [69, 231]
x, y = [69, 230]
x, y = [69, 229]
x, y = [69, 228]
x, y = [69, 227]
x, y = [69, 226]
x, y = [69, 225]
x, y = [69, 224]
x, y = [74, 225]
x, y = [74, 226]
x, y = [74, 227]
x, y = [74, 228]
x, y = [74, 229]
x, y = [74, 228]
x, y = [74, 227]
x, y = [74, 226]
x, y = [74, 225]
x, y = [74, 224]
x, y = [74, 223]
x, y = [74, 222]
x, y = [81, 223]
x, y = [81, 224]
x, y = [81, 225]
x, y = [81, 226]
x, y = [81, 227]
x, y = [81, 228]
x, y = [81, 229]
x, y = [81, 230]
x, y = [81, 231]
x, y = [81, 232]
x, y = [81, 233]
x, y = [81, 234]
x, y = [81, 235]
x, y = [81, 236]
x, y = [81, 237]
x, y = [81, 238]
x, y = [81, 239]
x, y = [81, 240]
x, y = [81, 241]
x, y = [81, 242]
x, y = [81, 243]
x, y = [81, 244]
x, y = [81, 245]
x, y = [81, 246]
x, y = [81, 247]
x, y = [81, 248]
x, y = [81, 249]
x, y = [81, 250]
x, y = [81, 251]
x, y = [81, 252]
x, y = [81, 253]
x, y = [81, 254]
x, y = [81, 255]
x, y = [81, 256]
x, y = [81, 255]
x, y = [81, 254]
x, y = [81, 253]
x, y = [81, 252]
x, y = [81, 251]
x, y = [81, 250]
x, y = [81, 249]
x, y = [81, 248]
x, y = [81, 247]
x, y = [81, 246]
x, y = [83, 247]
x, y = [83, 248]
x, y = [83, 249]
x, y = [83, 250]
x, y = [83, 251]
x, y = [83, 252]
x, y = [83, 253]
x, y = [83, 254]
x, y = [83, 255]
x, y = [83, 256]
x, y = [83, 257]
x, y = [83, 258]
x, y = [83, 259]
x, y = [83, 260]
x, y = [83, 261]
x, y = [83, 262]
x, y = [83, 263]
x, y = [83, 264]
x, y = [83, 265]
x, y = [83, 266]
x, y = [83, 267]
x, y = [83, 268]
x, y = [83, 269]
x, y = [83, 270]
x, y = [83, 271]
x, y = [83, 272]
x, y = [83, 273]
x, y = [83, 274]
x, y = [83, 275]
x, y = [83, 276]
x, y = [83, 275]
x, y = [83, 274]
x, y = [83, 273]
x, y = [83, 272]
x, y = [83, 271]
x, y = [83, 270]
x, y = [83, 269]
x, y = [83, 268]
x, y = [83, 267]
x, y = [83, 266]
x, y = [83, 265]
x, y = [83, 264]
x, y = [68, 265]
x, y = [68, 266]
x, y = [68, 267]
x, y = [68, 268]
x, y = [68, 269]
x, y = [68, 270]
x, y = [68, 271]
x, y = [68, 272]
x, y = [68, 273]
x, y = [68, 274]
x, y = [68, 275]
x, y = [68, 276]
x, y = [68, 277]
x, y = [68, 278]
x, y = [68, 279]
x, y = [68, 280]
x, y = [68, 281]
x, y = [68, 282]
x, y = [68, 283]
x, y = [68, 284]
x, y = [68, 285]
x, y = [68, 286]
x, y = [68, 287]
x, y = [68, 288]
x, y = [68, 289]
x, y = [68, 290]
x, y = [68, 291]
x, y = [68, 292]
x, y = [68, 293]
x, y = [68, 294]
x, y = [68, 295]
x, y = [68, 296]
x, y = [67, 297]
x, y = [67, 298]
x, y = [67, 297]
x, y = [67, 296]
x, y = [64, 297]
x, y = [64, 298]
x, y = [64, 299]
x, y = [64, 300]
x, y = [64, 301]
x, y = [64, 300]
x, y = [64, 299]
x, y = [64, 298]
x, y = [64, 297]
x, y = [64, 296]
x, y = [69, 297]
x, y = [69, 298]
x, y = [69, 299]
x, y = [69, 298]
x, y = [69, 297]
x, y = [69, 296]
x, y = [69, 295]
x, y = [69, 294]
x, y = [69, 293]
x, y = [69, 292]
x, y = [69, 291]
x, y = [69, 290]
x, y = [69, 289]
x, y = [69, 288]
x, y = [76, 289]
x, y = [76, 290]
x, y = [76, 291]
x, y = [76, 292]
x, y = [76, 293]
x, y = [76, 294]
x, y = [76, 295]
x, y = [76, 296]
x, y = [76, 297]
x, y = [76, 298]
x, y = [76, 299]
x, y = [76, 300]
x, y = [76, 301]
x, y = [76, 302]
x, y = [76, 303]
x, y = [76, 304]
x, y = [76, 305]
x, y = [76, 306]
x, y = [76, 307]
x, y = [76, 308]
x, y = [76, 309]
x, y = [76, 310]
x, y = [76, 311]
x, y = [76, 312]
x, y = [76, 313]
x, y = [76, 314]
x, y = [76, 315]
x, y = [76, 316]
x, y = [76, 317]
x, y = [76, 318]
x, y = [76, 319]
x, y = [76, 320]
x, y = [76, 321]
x, y = [76, 322]
x, y = [76, 323]
x, y = [76, 322]
x, y = [76, 321]
x, y = [76, 320]
x, y = [76, 319]
x, y = [76, 318]
x, y = [76, 317]
x, y = [76, 316]
x, y = [76, 315]
x, y = [76, 314]
x, y = [76, 313]
x, y = [76, 312]
x, y = [76, 311]
x, y = [74, 312]
x, y = [74, 313]
x, y = [74, 314]
x, y = [74, 315]
x, y = [74, 316]
x, y = [74, 317]
x, y = [74, 318]
x, y = [74, 319]
x, y = [74, 320]
x, y = [74, 321]
x, y = [74, 322]
x, y = [74, 323]
x, y = [74, 324]
x, y = [74, 325]
x, y = [74, 326]
x, y = [74, 327]
x, y = [74, 328]
x, y = [74, 329]
x, y = [74, 330]
x, y = [74, 331]
x, y = [74, 332]
x, y = [74, 333]
x, y = [74, 334]
x, y = [74, 335]
x, y = [74, 336]
x, y = [74, 337]
x, y = [74, 338]
x, y = [74, 339]
x, y = [74, 340]
x, y = [74, 341]
x, y = [74, 340]
x, y = [74, 339]
x, y = [74, 338]
x, y = [74, 337]
x, y = [74, 336]
x, y = [74, 335]
x, y = [74, 334]
x, y = [74, 333]
x, y = [74, 332]
x, y = [74, 331]
x, y = [87, 332]
x, y = [87, 333]
x, y = [87, 334]
x, y = [87, 335]
x, y = [87, 336]
x, y = [87, 337]
x, y = [87, 338]
x, y = [87, 339]
x, y = [87, 340]
x, y = [87, 341]
x, y = [87, 342]
x, y = [87, 343]
x, y = [87, 344]
x, y = [87, 345]
x, y = [87, 346]
x, y = [87, 347]
x, y = [87, 348]
x, y = [87, 349]
x, y = [87, 350]
x, y = [87, 351]
x, y = [87, 352]
x, y = [87, 353]
x, y = [87, 354]
x, y = [87, 355]
x, y = [87, 356]
x, y = [87, 357]
x, y = [87, 358]
x, y = [87, 359]
x, y = [87, 360]
x, y = [87, 361]
x, y = [87, 362]
x, y = [87, 363]
x, y = [87, 364]
x, y = [87, 365]
x, y = [87, 366]
x, y = [87, 367]
x, y = [87, 368]
x, y = [87, 367]
x, y = [87, 366]
x, y = [87, 365]
x, y = [87, 364]
x, y = [87, 363]
x, y = [87, 362]
x, y = [87, 361]
x, y = [87, 360]
x, y = [87, 359]
x, y = [87, 358]
x, y = [87, 357]
x, y = [87, 356]
x, y = [111, 357]
x, y = [111, 358]
x, y = [111, 359]
x, y = [111, 360]
x, y = [111, 361]
x, y = [111, 362]
x, y = [111, 363]
x, y = [111, 364]
x, y = [111, 365]
x, y = [111, 366]
x, y = [111, 367]
x, y = [111, 368]
x, y = [111, 369]
x, y = [111, 370]
x, y = [111, 371]
x, y = [111, 372]
x, y = [111, 373]
x, y = [111, 374]
x, y = [111, 375]
x, y = [111, 376]
x, y = [111, 377]
x, y = [111, 378]
x, y = [111, 379]
x, y = [111, 380]
x, y = [111, 381]
x, y = [111, 382]
x, y = [111, 383]
x, y = [111, 384]
x, y = [111, 385]
x, y = [111, 386]
x, y = [111, 387]
x, y = [111, 388]
x, y = [111, 389]
x, y = [111, 388]
x, y = [111, 387]
x, y = [111, 386]
x, y = [111, 385]
x, y = [111, 384]
x, y = [111, 383]
x, y = [111, 382]
x, y = [111, 381]
x, y = [111, 380]
x, y = [109, 381]
x, y = [109, 382]
x, y = [109, 383]
x, y = [109, 384]
x, y = [109, 385]
x, y = [109, 386]
x, y = [109, 387]
x, y = [109, 388]
x, y = [109, 389]
x, y = [109, 390]
x, y = [109, 391]
x, y = [109, 392]
x, y = [109, 393]
x, y = [109, 394]
x, y = [109, 395]
x, y = [109, 396]
x, y = [109, 397]
x, y = [109, 398]
x, y = [109, 399]
x, y = [109, 400]
x, y = [109, 401]
x, y = [109, 402]
x, y = [109, 403]
x, y = [109, 404]
x, y = [109, 405]
x, y = [108, 406]
x, y = [108, 407]
x, y = [108, 408]
x, y = [108, 409]
x, y = [108, 410]
x, y = [108, 411]
x, y = [108, 410]
x, y = [108, 409]
x, y = [108, 408]
x, y = [108, 407]
x, y = [108, 406]
x, y = [108, 405]
x, y = [112, 406]
x, y = [112, 407]
x, y = [112, 408]
x, y = [112, 407]
x, y = [112, 406]
x, y = [112, 405]
x, y = [112, 404]
x, y = [112, 403]
x, y = [112, 402]
x, y = [112, 401]
x, y = [112, 400]
x, y = [112, 399]
x, y = [112, 398]
x, y = [112, 397]
x, y = [99, 398]
x, y = [99, 399]
x, y = [99, 400]
x, y = [99, 401]
x, y = [99, 402]
x, y = [99, 403]
x, y = [99, 404]
x, y = [99, 405]
x, y = [99, 406]
x, y = [99, 407]
x, y = [99, 408]
x, y = [99, 409]
x, y = [99, 410]
x, y = [99, 411]
x, y = [99, 412]
x, y = [99, 413]
x, y = [99, 414]
x, y = [99, 415]
x, y = [99, 416]
x, y = [99, 417]
x, y = [99, 418]
x, y = [99, 419]
x, y = [99, 420]
x, y = [99, 421]
x, y = [99, 422]
x, y = [99, 423]
x, y = [99, 424]
x, y = [99, 425]
x, y = [99, 426]
x, y = [99, 427]
x, y = [99, 428]
x, y = [99, 429]
x, y = [99, 430]
x, y = [99, 429]
x, y = [99, 428]
x, y = [99, 427]
x, y = [99, 426]
x, y = [99, 425]
x, y = [99, 424]
x, y = [99, 423]
x, y = [99, 422]
x, y = [103, 423]
x, y = [103, 424]
x, y = [103, 425]
x, y = [103, 426]
x, y = [103, 425]
x, y = [103, 424]
x, y = [103, 423]
x, y = [103, 422]
x, y = [107, 423]
x, y = [107, 424]
x, y = [107, 425]
x, y = [107, 426]
x, y = [107, 427]
x, y = [107, 426]
x, y = [107, 425]
x, y = [107, 424]
x, y = [107, 423]
x, y = [107, 422]
x, y = [107, 421]
x, y = [107, 420]
x, y = [107, 419]
x, y = [91, 420]
x, y = [91, 421]
x, y = [91, 422]
x, y = [91, 423]
x, y = [91, 424]
x, y = [91, 425]
x, y = [91, 426]
x, y = [91, 427]
x, y = [91, 428]
x, y = [91, 429]
x, y = [91, 430]
x, y = [91, 431]
x, y = [91, 432]
x, y = [91, 433]
x, y = [91, 434]
x, y = [91, 435]
x, y = [91, 436]
x, y = [91, 437]
x, y = [91, 438]
x, y = [91, 439]
x, y = [91, 440]
x, y = [91, 441]
x, y = [91, 442]
x, y = [91, 443]
x, y = [91, 444]
x, y = [91, 445]
x, y = [91, 446]
x, y = [91, 447]
x, y = [91, 446]
x, y = [91, 445]
x, y = [91, 444]
x, y = [91, 443]
x, y = [91, 442]
x, y = [91, 441]
x, y = [91, 440]
x, y = [91, 439]
x, y = [91, 438]
x, y = [105, 439]
x, y = [105, 440]
x, y = [105, 441]
x, y = [105, 442]
x, y = [105, 443]
x, y = [105, 444]
x, y = [105, 445]
x, y = [105, 446]
x, y = [105, 447]
x, y = [105, 448]
x, y = [105, 449]
x, y = [105, 450]
x, y = [105, 451]
x, y = [105, 452]
x, y = [105, 453]
x, y = [105, 454]
x, y = [105, 455]
x, y = [105, 456]
x, y = [105, 457]
x, y = [105, 458]
x, y = [105, 459]
x, y = [105, 460]
x, y = [105, 461]
x, y = [105, 462]
x, y = [105, 463]
x, y = [105, 464]
x, y = [105, 465]
x, y = [105, 464]
x, y = [105, 463]
x, y = [105, 462]
x, y = [105, 461]
x, y = [105, 460]
x, y = [105, 459]
x, y = [110, 460]
x, y = [110, 461]
x, y = [110, 460]
x, y = [110, 459]
x, y = [112, 460]
x, y = [112, 461]
x, y = [112, 462]
x, y = [112, 461]
x, y = [112, 460]
x, y = [112, 459]
x, y = [112, 458]
x, y = [112, 457]
x, y = [112, 456]
x, y = [112, 455]
x, y = [97, 456]
x, y = [97, 457]
x, y = [97, 458]
x, y = [97, 459]
x, y = [97, 460]
x, y = [97, 461]
x, y = [97, 462]
x, y = [97, 463]
x, y = [97, 464]
x, y = [97, 465]
x, y = [97, 466]
x, y = [97, 467]
x, y = [97, 468]
x, y = [97, 469]
x, y = [97, 470]
x, y = [97, 471]
x, y = [97, 472]
x, y = [97, 473]
x, y = [97, 474]
x, y = [97, 475]
x, y = [97, 476]
x, y = [97, 477]
x, y = [97, 478]
x, y = [97, 479]
x, y = [97, 480]
x, y = [97, 481]
x, y = [97, 482]
x, y = [97, 483]
x, y = [97, 484]
x, y = [97, 485]
x, y = [97, 486]
x, y = [97, 487]
x, y = [97, 488]
x, y = [97, 489]
x, y = [97, 490]
x, y = [97, 491]
x, y = [97, 492]
x, y = [97, 493]
x, y = [97, 494]
x, y = [97, 495]
x, y = [97, 496]
x, y = [97, 497]
x, y = [97, 498]
x, y = [97, 499]
x, y = [97, 500]
x, y = [97, 501]
x, y = [97, 502]
x, y = [97, 501]
x, y = [97, 500]
x, y = [97, 499]
x, y = [97, 498]
x, y = [97, 497]
x, y = [97, 496]
x, y = [97, 495]
x, y = [97, 494]
x, y = [97, 493]
x, y = [97, 492]
x, y = [123, 493]
x, y = [123, 494]
x, y = [123, 493]
x, y = [123, 492]
x, y = [130, 493]
x, y = [130, 494]
x, y = [130, 495]
x, y = [130, 494]
x, y = [130, 493]
x, y = [130, 492]
x, y = [130, 491]
x, y = [130, 490]
x, y = [130, 489]
x, y = [88, 490]
x, y = [88, 491]
x, y = [88, 492]
x, y = [88, 493]
x, y = [88, 494]
x, y = [88, 495]
x, y = [88, 496]
x, y = [88, 497]
x, y = [88, 498]
x, y = [88, 499]
x, y = [88, 500]
x, y = [88, 501]
x, y = [88, 502]
x, y = [88, 503]
x, y = [88, 504]
x, y = [88, 505]
x, y = [88, 506]
x, y = [88, 507]
x, y = [88, 508]
x, y = [88, 509]
x, y = [88, 510]
x, y = [88, 511]
x, y = [88, 512]
x, y = [88, 513]
x, y = [88, 514]
x, y = [88, 515]
x, y = [88, 516]
x, y = [88, 517]
x, y = [88, 518]
x, y = [88, 519]
x, y = [88, 520]
x, y = [88, 521]
x, y = [88, 522]
x, y = [88, 523]
x, y = [88, 524]
x, y = [88, 523]
x, y = [88, 522]
x, y = [88, 521]
x, y = [88, 520]
x, y = [88, 519]
x, y = [88, 518]
x, y = [88, 517]
x, y = [88, 516]
x, y = [88, 515]
x, y = [88, 514]
x, y = [88, 513]
x, y = [90, 514]
x, y = [90, 515]
x, y = [90, 516]
x, y = [90, 517]
x, y = [90, 518]
x, y = [90, 519]
x, y = [90, 520]
x, y = [90, 521]
x, y = [90, 522]
x, y = [90, 523]
x, y = [90, 524]
x, y = [90, 525]
x, y = [90, 526]
x, y = [90, 527]
x, y = [90, 528]
x, y = [90, 529]
x, y = [90, 530]
x, y = [90, 531]
x, y = [90, 532]
x, y = [90, 533]
x, y = [90, 534]
x, y = [90, 535]
x, y = [90, 536]
x, y = [90, 537]
x, y = [90, 538]
x, y = [90, 539]
x, y = [90, 540]
x, y = [90, 541]
x, y = [90, 542]
x, y = [90, 543]
x, y = [90, 544]
x, y = [90, 543]
x, y = [90, 542]
x, y = [90, 541]
x, y = [90, 540]
x, y = [90, 539]
x, y = [90, 538]
x, y = [90, 537]
x, y = [90, 536]
x, y = [90, 535]
x, y = [82, 536]
x, y = [82, 537]
x, y = [82, 538]
x, y = [82, 539]
x, y = [82, 540]
x, y = [82, 541]
x, y = [82, 542]
x, y = [82, 543]
x, y = [82, 544]
x, y = [82, 545]
x, y = [82, 546]
x, y = [82, 547]
x, y = [82, 548]
x, y = [82, 549]
x, y = [82, 550]
x, y = [82, 551]
x, y = [82, 552]
x, y = [82, 553]
x, y = [82, 554]
x, y = [82, 555]
x, y = [82, 556]
x, y = [82, 557]
x, y = [82, 558]
x, y = [82, 559]
x, y = [82, 560]
x, y = [82, 561]
x, y = [82, 562]
x, y = [82, 563]
x, y = [82, 562]
x, y = [82, 561]
x, y = [82, 560]
x, y = [82, 559]
x, y = [82, 558]
x, y = [82, 557]
x, y = [82, 556]
x, y = [137, 557]
x, y = [137, 558]
x, y = [137, 559]
x, y = [137, 558]
x, y = [137, 557]
x, y = [137, 556]
x, y = [137, 555]
x, y = [137, 554]
x, y = [71, 555]
x, y = [71, 556]
x, y = [71, 557]
x, y = [71, 558]
x, y = [71, 559]
x, y = [71, 560]
x, y = [71, 561]
x, y = [71, 562]
x, y = [71, 563]
x, y = [71, 564]
x, y = [71, 565]
x, y = [71, 566]
x, y = [71, 567]
x, y = [71, 568]
x, y = [71, 569]
x, y = [71, 570]
x, y = [71, 571]
x, y = [71, 572]
x, y = [71, 573]
x, y = [71, 574]
x, y = [71, 575]
x, y = [71, 574]
x, y = [71, 573]
x, y = [66, 574]
x, y = [66, 575]
x, y = [66, 576]
x, y = [66, 577]
x, y = [66, 578]
x, y = [66, 579]
x, y = [66, 580]
x, y = [66, 581]
x, y = [66, 582]
x, y = [66, 583]
x, y = [66, 582]
x, y = [66, 581]
x, y = [66, 580]
x, y = [66, 579]
x, y = [66, 578]
x, y = [66, 577]
x, y = [66, 576]
x, y = [66, 575]
x, y = [66, 574]
x, y = [66, 573]
x, y = [73, 574]
x, y = [73, 575]
x, y = [73, 576]
x, y = [73, 575]
x, y = [73, 574]
x, y = [73, 573]
x, y = [73, 572]
x, y = [73, 571]
x, y = [81, 572]
x, y = [81, 573]
x, y = [81, 574]
x, y = [81, 575]
x, y = [81, 576]
x, y = [81, 577]
x, y = [81, 578]
x, y = [81, 579]
x, y = [81, 580]
x, y = [81, 581]
x, y = [81, 582]
x, y = [81, 583]
x, y = [81, 584]
x, y = [81, 585]
x, y = [81, 586]
x, y = [81, 587]
x, y = [81, 588]
x, y = [81, 589]
x, y = [81, 590]
x, y = [81, 591]
x, y = [81, 592]
x, y = [81, 593]
x, y = [81, 594]
x, y = [81, 595]
x, y = [81, 596]
x, y = [81, 597]
x, y = [81, 598]
x, y = [81, 599]
x, y = [81, 600]
x, y = [81, 601]
x, y = [81, 602]
x, y = [81, 603]
x, y = [81, 604]
x, y = [81, 605]
x, y = [81, 604]
x, y = [81, 603]
x, y = [81, 602]
x, y = [81, 601]
x, y = [81, 600]
x, y = [81, 599]
x, y = [81, 598]
x, y = [81, 597]
x, y = [81, 596]
x, y = [81, 595]
x, y = [81, 594]
x, y = [81, 593]
x, y = [81, 592]
x, y = [72, 593]
x, y = [72, 594]
x, y = [72, 595]
x, y = [72, 596]
